Nombre;Nombre Largo;CAEDED;Descripcion
TECHILLALAARDILLA S.R.L;TECHILLALAARDILLA S.R.L;51339;VTA X MAYOR ART. PARA EL HOGAR NCP
ENVIRONMENTAL CONSULTING BOLIVIA S.R.L.;ENVIRONMENTAL CONSULTING BOLIVIA S.R.L.;14290;EXPLOTACION DE OTRAS MINAS Y CANTERAS NC
MR. THREE S.R.L.;MR.THREE S.R.L.;51433;VTA X MAYOR ART. DE FERRETERÍA, FONTANER
COAQUIRA HUAYTA HUGO DE COAQUIRA HUAYTA;COAQUIRA HUAYTA HUGO DE COAQUIRA HUAYTA HUGO;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
PUBLICIDAD Y COMUNICACIONES SONORA;PUBLICIDAD Y COMUNICACIONES SONORA DE VACAFLOR GANAM LUIS ALBERTO;64202;SERVICIO DE TRANSMISION DE RADIO Y TELEV
FUNDACION DESARROLLO RURAL Y BIODIVERSID;FUNDACION DESARROLLO RURAL Y BIODIVERSIDAD DRB;1127;PROD.SEMILLAS Y OTRAS FORMAS DE CULTIVOS
ENVAGRO S.R.L.;ENVAGRO S.R.L.;25201;FABRICN. DE ENVASES PLÁSTICOS
MEDICOS SIN FRONTERAS;MEDICOS SIN FRONTERAS;85122;SERV DE CONSULTAS MÉDICAS
IBOLSA S.R.L.;IBOLSA S.R.L.;0;
CAJA DE SALUD DE C;CAJA DE SALUD DE CAMINOS Y RA;85110;SERV HOSPITALARIOS
SICILSALDO S.P.A. SUC.BOLIVIA;SICILSALDO S.P.A. SUCURSAL BOLIVIA;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
RECIPROCO S.R.L.;RECIPROCO S.R.L.;41001;CAPT., DEPURACIÓN Y DIST DE AGUA SUBTERR
FELICIDAD PINTO ZAMBRANA DE PINTO ZAMBRA;FELICIDAD PINTO ZAMBRANA DE PINTO ZAMBRANA DE IRIARTE FELICIDAD;14102;EXTRACCION DE ARENAS
KYUBI MEDIA SRL;KYUBI MEDIA SRL;75120;REGULACIÓN DE ACT.DE ORGANISMOS EDUC,CUL
SUNTAL S.R.L.;SUNTAL S.R.L.;80901;EDUCACION DE ADULTOS
EMPRESA MINERA CHOQUE SRL;EMPRESA MINERA CHOQUE SRL;14290;EXPLOTACION DE OTRAS MINAS Y CANTERAS NC
I.T.E. INTEGRACION DE SOLUCIONES DE ROLA;I.T.E. INTEGRACION DE SOLUCIONES DE ROLANDO AARON VASQUEZ ZUBIETA;72500;SERV MANTENIMIENTO MAQ OFICINA,CONTABILI
AMAZONIAPAVIMENTOS SRL;AMAZONIAPAVIMENTOS SRL;51900;VTA X MAYOR OTROS PROD.
ESTACIONAMIENTOS SEGUROS S.R.L.;ESTACIONAMIENTOS SEGUROS S.R.L.;63031;"SERV EXPLOTACIÓN INFRAESTRUCTURA; PEAJES"
PRETTYBAN S.R.L.;PRETTYBAN S.R.L.;51221;VTA X MAYOR EMPAQUES DE FRUTAS,LEGUMBRES
NORD WEST LTD.SUCURSAL BOLIVIA;NORD WEST LTD.SUCURSAL BOLIVIA;74212;SERV DE INGENIERÍA
MEXBOL IMPORTACIONES DE DANIEL PEREZ ARC;MEXBOL IMPORTACIONES DE DANIEL PEREZ ARCE;51900;VTA X MAYOR OTROS PROD.
ARQ DAN TRANSPORTES S.R.L.;ARQ DAN TRANSPORTES S.R.L.;74921;SERV RANSPORTE CAUDALES Y OBJETOS DE VAL
ERIC PELLE MADERA LLC DE ERIC ALAIN HENR;ERIC PELLE MADERA LLC DE ERIC ALAIN HENRI PELLE;20210;FABRICN. HOJAS MADERA ENCHAPADO TABLEROS
SENA QUINA S.R.L.;SENA QUINA S.R.L.;15499;ELAB. DE PROD. ALIMENTICIOS NCP
CONSTRUCCIONES Y SERVICIOS INGENIERILES;CONSTRUCCIONES Y SERVICIOS INGENIERILES PETROBOL DE COROFLORES LIMBERTH;45500;ALQ. EQUIPO CONSTRUCCIÓN Y DEMOLICIÓN DO
