Nombre;Nombre Largo;CAEDED;Descripcion
ARQUITECTURA VIVA Y CONSTRUCCIONES SOCIE;ARQUITECTURA VIVA Y CONSTRUCCIONES SOCIEDAD DE RESPONSABILIDAD LIMITADA;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
ARABIAN BOLIVIAN ENERGY S.R.L.;ARABIAN BOLIVIAN ENERGY S.R.L.;11100;EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATUR
NEW LIFE TRANSPORT S.R.L.;NEW LIFE TRANSPORT S.R.L.;60222;OTROS SERV TRANSPORTE NO REGULAR PASAJER
FAB BOL DE CONDUCTORES ELECTRICOS Y TEL;FAB BOL DE CONDUCTORES ELECTRICOS Y TELF;31900;FABRICN. OTROS TIPOS EQUIPO ELÉCTRICO NC
FUND. ARQUIDIOCESANA P. IGNACIO ZALLES;FUND. ARQUIDIOCESANA P. IGNACIO ZALLES;91910;SERV DE ORGANIZACIONES RELIGIOSAS
INBOLSA LTDA.;INBOLSA LTDA.;24300;FABRICN. DE FIBRAS MANUFACTURADAS
MICRO MARKET DELICIA;MICRO MARKET DELICIA;52207;VTA X MENOR BEBIDAS, CIGARRILLOS Y  TABA
NULO IBTA CHAPARE;NULO IBTA CHAPARE;45109;MOV.SUELOS Y PREPARACIÓN TERRENO RELLENO
DISTRIBUIDORA MAYORISTA DE TECNOLOGIA S.;"DISTRIBUIDORA MAYORISTA DE TECNOLOGIA S.A. ""DISMATEC S.A.""";51334;VTA X MAYOR ARTEFACTOS PARA EL HOGAR, EL
ASOC.MISION REFORMADA DE BOLIVIA;ASOC.MISION REFORMADA DE BOLIVIA;91910;SERV DE ORGANIZACIONES RELIGIOSAS
PETROSAFE BOLIVIA;PETROSAFE BOLIVIA;52190;VTA X MENOR OTROS PROD.ALMACENES NO ESPE
EMPRESA NACIONAL BOLIVIANA CONSTRUCTORA;EMPRESA NACIONAL BOLIVIANA CONSTRUCTORA ENABOLCO LIMITADA.;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
AMADEUS BOLIVIA SRL;AMADEUS BOLIVIA SRL;63041;SERV DE AGENCIAS DE VIAJES
ADDVISORY GROUP S.R.L.;ADDVISORY GROUP S.R.L.;74140;SERV.ASESORAMIENTO Y GESTIÓN EMPRESARIAL
NULO INSTITUTO POLITECNICO TOMAS KATARI.;NULO INSTITUTO POLITECNICO TOMAS KATARI.;85329;OTROS SERV ASISTENCIA SOCIAL SIN ALOJAMI
NULO AFI S.A.PORTAFOLIO FDO.DE INVERSIO;NULO AFI S.A.PORTAFOLIO FDO.DE INVERSIO;67110;SERV DE ADMI. DE MERCADOS FINANCIEROS
ECOLOGIA & NATURALEZA LTDA;ECOLOGIA & NATURALEZA LTDA;92330;SERV JARDINES BOTÁNICOS Y ZOOLÓGICOS Y D
U.S.GOVERNMENT USAID BOLIVIA PL480 SP.A;U.S.GOVERNMENT USAID BOLIVIA PL480 SP.AC;91120;SERV DE ORGANIZACIONES PROFESIONALES
IMPORT EXPORT COPLA LTDA;IMPORT EXPORT COPLA LTDA;14211;EXTRACCIÓN MINERALES PARA FABRICN. ABONO
FICHTNER GMBH AND CO.KG.;FICHTNER GMBH AND CO.KG.;74212;SERV DE INGENIERÍA
ADC TELECOMUMUNICATIONS ISRRAEL LTDA;ADC TELECOMUMUNICATIONS ISRRAEL LTDA;45305;INSTALACIONES ESTACIONES TELECOM Y RADAR
ENVASES DE ALUMINIO LA PAZ SRL;ENVASES DE ALUMINIO LA PAZ SRL;28991;FABRICN. DE ENVASES DE PROD. METÁLICOS
FAMILY CARE INTERNATIONAL;FAMILY CARE INTERNATIONAL;85322;SERV SOC ORIENTACIÓN Y ASESORAMIENTO SIN
NULO;NULO;65191;SERV DE LAS ENTIDADES BANCARIAS
NULO AAA UE AIPE;NULO AAA UE AIPE;92143;OTRAS ACT. RELACIONADAS CON EL ESPECTÁCU
PERFECT SERVICE;PERFECT SERVICE;74930;SERV DE LIMPIEZA DE EDIFICIOS
TRANSPORTADORA PETROLERA TRANSOL S.A.;TRANSPORTADORA PETROLERA TRANSOL S.A.;60222;OTROS SERV TRANSPORTE NO REGULAR PASAJER
CONG. DE LAS RELIGIOSAS DE JESUS MARIA;CONG. DE LAS RELIGIOSAS DE JESUS MARIA;80210;EDUCACION SECUNDARIA DE FORMACION GENERA
COMPRESSOR CONTROLS CORPORATION;COMPRESSOR CONTROLS CORPORATION;29120;FABRICN. BOMBAS, COMPRESORES, GRIFOS Y V
PARKER DRILLING CO.(BOLIVIA SA);PARKER DRILLING CO.(BOLIVIA SA);11200;ACT. DE SERV RELACIONADAS PETRÓLEO Y GAS
SERVICIO GRAL.DE TOPOGRAFIA TOPOGEN LTD;SERVICIO GRAL.DE TOPOGRAFIA TOPOGEN LTDA;74212;SERV DE INGENIERÍA
FERIAS ANDINAS Y EVENTOS;FERIAS ANDINAS Y EVENTOS;52590;OTROS TIPOS VTA X MENOR NO EN ALMACENES
PROF EN SOC PARA EL APOYO AL DESARROLLO;PROF EN SOC PARA EL APOYO AL DESARROLLO;73200;INVESTIGACIONES Y DESARROLLO EN CS SOCIA
EDV BOLIVIA S.A.;EDV BOLIVIA S.A.;67120;SERV BURSÁTILES DE MEDIACIÓN O X CTA 3ER
ARELLANO LTDA.;ARELLANO LTDA.;51509;VTA X MAYOR MAQ, EQ, IMPL ESPECIAL NCP
COMERICA BANK;COMERICA BANK;65191;SERV DE LAS ENTIDADES BANCARIAS
URUBO PARQUES Y JARDINES;URUBO PARQUES Y JARDINES;92330;SERV JARDINES BOTÁNICOS Y ZOOLÓGICOS Y D
OTZ LTDA.;OTZ LTDA.;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
INSTITUTO POLITECNICO TOMAS KATARI;INSTITUTO POLITECNICO TOMAS KATARI;85329;OTROS SERV ASISTENCIA SOCIAL SIN ALOJAMI
IMPRENTA EDITORIAL BENAVIDES LTDA.;IMPRENTA EDITORIAL BENAVIDES LTDA.;22210;ACT. DE IMPRESIÓN
INSTITUTO TECNOLOGICO SIMON BOLIVAR S.R.;INSTITUTO TECNOLOGICO SIMON BOLIVAR S.R.L;80909;OTRAS ENSENANZAS NCP
DISTRIBUIDORA INDUSTRIAL MONTANO;DISTRIBUIDORA INDUSTRIAL MONTANO;52590;OTROS TIPOS VTA X MENOR NO EN ALMACENES
TELEPLUS SRL.;TELEPLUS SRL.;74990;OTROS SERV EMPRESARIALES NCP
SACO S.R.L.;SACO S.R.L.;55205;SERV,PREPARACIÓN Y VENTA COMIDAS RÁPIDAS
CAEM LTDA.;CAEM LTDA.;74990;OTROS SERV EMPRESARIALES NCP
BOLIVIA NEGOCIOS;BOLIVIA NEGOCIOS;52363;VTA X MENOR EQUIPOS COMUNICACIONES,SEGUR
QUIRUMEDICA S.R.L.;QUIRUMEDICA S.R.L.;51343;VTA X MAYOR INSTRUMENTAL MÉDICO Y ODONTO
NULO-PRAHS AECI OBRAS;NULO-PRAHS AECI OBRAS;74211;SERV DE ARQUITECTURA
NULO FUNDESNAP T.N.C. USAID;NULO FUNDESNAP T.N.C. USAID;74922;SERV DE INVESTIGACIÓN Y SEGURIDAD PERSON
CONSORCIO CIABOL LTDA ERIKA SRL.;CONSORCIO CIABOL LTDA ERIKA SRL.;74212;SERV DE INGENIERÍA
MINERA VICUNA S.R.L.;MINERA VICUNA S.R.L.;14211;EXTRACCIÓN MINERALES PARA FABRICN. ABONO
DHV SUDAMERICA S.R.L.;DHV SUDAMERICA S.R.L.;74990;OTROS SERV EMPRESARIALES NCP
INDUSTRIAL BANK OF KOREA;INDUSTRIAL BANK OF KOREA;65191;SERV DE LAS ENTIDADES BANCARIAS
LG CABLE LTD.;LG CABLE LTD.;51501;VTA X MAYOR MAQ, EQ, IMPL AGROPECUARIO
LATINOAMERICANA BOLIVIA S.A.;LATINOAMERICANA BOLIVIA S.A.;92132;SERV DE PROGRAMAS DE TELEVISIÓN
NULO CRUZ ROJA BOLIVIANA 75059;NULO CRUZ ROJA BOLIVIANA 75059;85314;SERV ASISTENCIA SOCIAL A DISCAPACITADOS
ARBOLANDO;ARBOLANDO;75120;REGULACIÓN DE ACT.DE ORGANISMOS EDUC,CUL
SERVICIOS DE INGENIERIA Y PETROLEO SRL;SERVICIOS DE INGENIERIA Y PETROLEO SRL;74212;SERV DE INGENIERÍA
NULO AYUDA EN ACCION AIPE;NULO AYUDA EN ACCION AIPE;70203;SERV ASESORAMIENTO EN MATERIA INMOBILIAR
AGRO XXI;AGRO XXI;1119;OTROS CULTIVOS NCP
BROADBAND TELECOMUNICACIONES SRL;BROADBAND TELECOMUNICACIONES SRL;74212;SERV DE INGENIERÍA
CONSER LTDA.;CONSER LTDA.;63020;SERVICIO DE ALMACENAMIENTO Y DEPOSITO
EMP.AGRO FORESTAL Y COMERCIAL FORESTAGRO;EMP.AGRO FORESTAL Y COMERCIAL FORESTAGRO;3001;EXTRACCIÓN PROD. FORESTALES BOSQUES CULT
UNIVERSIDAD ADVENTISTA DE BOLIVIA;UNIVERSIDAD ADVENTISTA DE BOLIVIA;80302;EDUCACION SUPERIOR UNIVERSITARIA
PROFIN COSUDE;PROFIN COSUDE;75120;REGULACIÓN DE ACT.DE ORGANISMOS EDUC,CUL
PROFIN COSUDE CAPITAL DE RIESGO;PROFIN COSUDE CAPITAL DE RIESGO;75120;REGULACIÓN DE ACT.DE ORGANISMOS EDUC,CUL
NULO CRUZ ROJA BOLIVIANA FDO FORT;NULO CRUZ ROJA BOLIVIANA FDO FORT;85199;OTROS SERV RELACIONADOS A SALUD HUMANA N
OIL TRADING COMPANY INC S.A.;OIL TRADING COMPANY INC S.A.;11200;ACT. DE SERV RELACIONADAS PETRÓLEO Y GAS
ASOCIACION COPROPIETARIOS EDIF.PARK INN;ASOCIACION COPROPIETARIOS EDIF.PARK INN;45409;OTROS TRABAJOS DE TERMINACION DE EDIFICI
CENTRO DE APOYO A LA MUJER Y LA NINEZ;CENTRO DE APOYO A LA MUJER Y LA NINEZ;85319;OTROS SERV ASIST SOCIAL CON ALOJAMIENTO
PROYECTO CAMINOS VECINALES;PROYECTO CAMINOS VECINALES;85329;OTROS SERV ASISTENCIA SOCIAL SIN ALOJAMI
CAFE & CALIDAD DE JALDIN DAZA DENNIS HUG;CAFE & CALIDAD DE JALDIN DAZA DENNIS HUGO;74220;SERV DE ENSAYOS Y ANÁLISIS TÉCNICOS
UNICREDIT S.P.A.;UNICREDIT S.P.A.;65191;SERV DE LAS ENTIDADES BANCARIAS
SPOT IMAGE TOULOUSE;SPOT IMAGE TOULOUSE;74990;OTROS SERV EMPRESARIALES NCP
INDALUX ILUMINACION TECNICA SL VALLADOL;INDALUX ILUMINACION TECNICA SL VALLADOLI;40109;PRODUCCION DE ENERGIA ELECTRICA NCP
ICYS MEDICAL DE JUAN MURILLO DENCKER;ICYS MEDICAL DE JUAN MURILLO DENCKER;52313;VTA X MENOR ART.MÉDICOS,ODONTOLÓGICOS Y
NULO UNIBANK A S;NULO UNIBANK A S;65110;SERV DE LA BANCA CENTRAL
SOCIEDAD AGRICOLA Y PROTEC.AMBIENTAL SR;SOCIEDAD AGRICOLA Y PROTEC.AMBIENTAL SRL;74212;SERV DE INGENIERÍA
TRITURADOS DEL SUR;TRITURADOS DEL SUR;14101;EXTRACCION DE PIEDRAS
HI FLO SERVICIOS DE PRECISION BOLIVIA S;HI FLO SERVICIOS DE PRECISION BOLIVIA SR;11200;ACT. DE SERV RELACIONADAS PETRÓLEO Y GAS
CONSTRUCTORA PROYECTO S.R.L.;CONSTRUCTORA PROYECTO S.R.L.;45201;CONSTRUCCIÓN Y REPARACIÓN DE EDIFICIOS
MUEBLES PRO METAL SRL;MUEBLES PRO METAL SRL;28999;FABRICN. DE PROD. METÁLICOS NCP
INDUSTRIA MADEDERA OCAMPO;INDUSTRIA MADEDERA OCAMPO;36101;FABRICN. MUEBLES,PARTES MUEBLES,PRINCIPA
CENTRO DE ESTUDIOS FISCALES FINANCIEROS;CENTRO DE ESTUDIOS FISCALES FINANCIEROS;80303;EDUCACIÓN SUPERIOR,ESPECIALIZACIÓN, POST
NULO-I.P.T.K. DRUS POCOATA;NULO-I.P.T.K. DRUS POCOATA;3009;OTROS SERV FORESTALES
BNP PARIBAS S.A.;BNP PARIBAS S.A.;65191;SERV DE LAS ENTIDADES BANCARIAS
INDRA SISTEMAS S.A.;INDRA SISTEMAS S.A.;63032;SERV. COMPL. PARA EL TRANSPORTE AÉREO
GALAVISION S.R.L. CANAL 4 DE TELEVISION;GALAVISION S.R.L. CANAL 4 DE TELEVISION;64202;SERVICIO DE TRANSMISION DE RADIO Y TELEV
TRAVEL CONTACT;TRAVEL CONTACT;72400;SERV RELACIONADOS CON BASES DE DATOS
GRUPO MINERO LA ROCA LTDA.;GRUPO MINERO LA ROCA LTDA.;13202;EXTRACCION DE METALES PRECIOSOS
MULTIPARTES SANTA CRUZ SRL;MULTIPARTES SANTA CRUZ SRL;50300;VENTA PARTES Y ACCESORIOS VEHÍCULOS AUTO
ROTARY INTERNATIONAL;ROTARY INTERNATIONAL;63090;SERV.APOYO Y LOGÍSTICA AG DE TRANSPORTE
GULF BANK;GULF BANK;65191;SERV DE LAS ENTIDADES BANCARIAS
EMP.CONSTRUCTORA BLACUD CHACON HNOS.SRL;EMP.CONSTRUCTORA BLACUD CHACON HNOS.SRL;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
GWB INVERSIONES S.A.;GWB INVERSIONES S.A.;74990;OTROS SERV EMPRESARIALES NCP
FULL SERVICE;FULL SERVICE;60230;SERV. TRANSPORTE AUTOMOTOR CARGA X CARRE
TRANSPORTES LOPEZ QUIROGA SRL;TRANSPORTES LOPEZ QUIROGA SRL;60230;SERV. TRANSPORTE AUTOMOTOR CARGA X CARRE
PETROLEO DESARROLLO E IMPORTACIONES SA;PETROLEO DESARROLLO E IMPORTACIONES SA;51411;VTA X MAYOR COMBUSTIBLES PARA AUTOS
SOFTWARE ANDINA BOLIVIA SRL;SOFTWARE ANDINA BOLIVIA SRL;72200;SERV CONSULTORES INFORMÁTICA Y SUMINISTR
TOURING EXPRESS S.R.L.;TOURING EXPRESS S.R.L.;63042;SERV COMPLEMENTARIOS DE APOYO TURÍSTICO
BARGO S.R.L.;BARGO S.R.L.;51211;VTA X MAYOR MAT PRIMA AGROPECUARIAS Y DE
NULO ARZOBISPADO ADOPCIONES;NULO ARZOBISPADO ADOPCIONES;75300;ACT. PLANES DE SEGURIDAD SOCIAL AFILIACI
ACOPROCCA;ACOPROCCA;1213;CRIA DE GANADO CAMELIDO
SERVICIOS DE AEROPUERTOS BOLIVIANOS S.A.;SERVICIOS DE AEROPUERTOS BOLIVIANOS S.A. EN LIQUIDACION;63032;SERV. COMPL. PARA EL TRANSPORTE AÉREO
FUNDACION PAP;FUNDACION PAP;73200;INVESTIGACIONES Y DESARROLLO EN CS SOCIA
GRUPO PROVEEDOR DE SERVICIOS RURALES SR;GRUPO PROVEEDOR DE SERVICIOS RURALES SRL;1401;ACT. DE SERV AGRÍCOLAS
BP SOLAR ESPANA S.A.;BP SOLAR ESPANA S.A.;40109;PRODUCCION DE ENERGIA ELECTRICA NCP
GEOINPRO SA;GEOINPRO SA;72900;OTRAS ACT. DE INFORMÁTICA
NATUREX SRL;NATUREX SRL;51229;VTA X MAYOR PROD. ALIMENTICIOS NCP
EMPRESA CONSTRUCTORA ALIPAZ S.R.L.;EMPRESA CONSTRUCTORA ALIPAZ S.R.L.;45202;CONSTRUCCIÓN Y REPARACIÓN INFRAESTRUCTUR
INPACO BOLIVIA SA;INPACO BOLIVIA SA;74990;OTROS SERV EMPRESARIALES NCP
TRANSCOM SA;TRANSCOM SA;64201;SERV DE TRANSMISIÓN DE DATOS Y MENSAJES
NULO CRUZ ROJA BOLIVIANA C.I.C.R.;NULO CRUZ ROJA BOLIVIANA C.I.C.R.;85314;SERV ASISTENCIA SOCIAL A DISCAPACITADOS
FUNDETIC;FUNDETIC;91120;SERV DE ORGANIZACIONES PROFESIONALES
METALURGICA AZO INOX SRL;METALURGICA AZO INOX SRL;28110;FABRICN. PROD.METÁLICOS PARA USO ESTRUCT
IMPORTADORA MOYAS TRADING LTDA;IMPORTADORA MOYAS TRADING LTDA;51491;VTA X MAYOR PROD. QUÍMICOS
INPA PARKET LTDA.;INPA PARKET LTDA.;20100;ASERRADO Y CEPILLADO DE MADERA
LAGUALI SL;LAGUALI SL;92491;SERV ESPARCIMIENTO,JUEGOS DE AZAR Y APUE
CRUZ ROJA BOLIVIANA FILIAL COCHABAMBA;CRUZ ROJA BOLIVIANA FILIAL COCHABAMBA;85323;SERV SOCIALES DE ORIENTACIÓN FAMILIAR
EMPRESA CONSTRUCTORA SALVATIERRA DE SALV;EMPRESA CONSTRUCTORA SALVATIERRA DE SALV;45201;CONSTRUCCIÓN Y REPARACIÓN DE EDIFICIOS
SERVIC. ALTERNATIVOS PARA LA PROD.JATHA;SERVIC. ALTERNATIVOS PARA LA PROD.JATHA;1401;ACT. DE SERV AGRÍCOLAS
EMPRESA DE TRANSFORMACION AGROINDUSTRIA;EMPRESA DE TRANSFORMACION AGROINDUSTRIAL;15142;ELAB. DE ACEITES Y GRASAS VEGETALES REFI
MEDINA CONSULTORES SRL;MEDINA CONSULTORES SRL;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
EMBAJADA DEL PERU;EMBAJADA DEL PERU;98000;SERV.ORGANIZACIONES Y ÓRGANOS EXTRATERRI
SHENZHEN COMMERCIAL BANK;SHENZHEN COMMERCIAL BANK;65191;SERV DE LAS ENTIDADES BANCARIAS
AERO CONTINENTE S A;AERO CONTINENTE S A;62101;SERV. TRANSPORTE AÉREO REGULAR DE PASAJE
MAGRI TURISMO LTDA.;MAGRI TURISMO LTDA.;63041;SERV DE AGENCIAS DE VIAJES
NULO FUNDESNAP FONDO DE APOYO;NULO FUNDESNAP FONDO DE APOYO;3009;OTROS SERV FORESTALES
SUMINISTROS DE COMERCIO EXTERIOR S.A.;SUMINISTROS DE COMERCIO EXTERIOR S.A.;33110;FABRICN. EQUIPO MÉDICO,QUIRÚRGICO,APARAT
DHV AGRICULTURE B.V.;DHV AGRICULTURE B.V.;1401;ACT. DE SERV AGRÍCOLAS
NULO FORTIS BANK NEDERLAND N.V.;NULO FORTIS BANK NEDERLAND N.V.;65191;SERV DE LAS ENTIDADES BANCARIAS
ULTRASONIC INSPECTION SERVICES SA;ULTRASONIC INSPECTION SERVICES SA;74220;SERV DE ENSAYOS Y ANÁLISIS TÉCNICOS
ASOC.ACCIDENTAL CEI TECNOCONSULTA TOPOGE;ASOC.ACCIDENTAL CEI TECNOCONSULTA TOPOGE;74219;OTROS SERV DE ACT. TÉCNICAS
COMPANIA DE ESTUDIOS E INTERVENTORIAS S;COMPANIA DE ESTUDIOS E INTERVENTORIAS SA;74219;OTROS SERV DE ACT. TÉCNICAS
ASOCIACION DE AVILCULTORES SANTA CRUZ;ASOCIACION DE AVILCULTORES SANTA CRUZ;1221;CRIA DE AVES
FUNDACION SEPA;FUNDACION SEPA;85312;SERV ASISTENCIA SOCIAL A JÓVENES CON ALO
EMPRESA MINERA LA URANIA;EMPRESA MINERA LA URANIA;13201;EXTRACCIÓN MINERALES METÁLICOS NO FERROS
BATERIAS COLON;BATERIAS COLON;50201;"MANTENIMIENTO Y REPARACION DEL MOTOR; ME"
CONSIST INFORMATICA BOLIVIA S.A.;CONSIST INFORMATICA BOLIVIA S.A.;72200;SERV CONSULTORES INFORMÁTICA Y SUMINISTR
SERVICIO DE TRANSPORTE MOLINA ASOCIADOS;SERVICIO DE TRANSPORTE MOLINA ASOCIADOS;60230;SERV. TRANSPORTE AUTOMOTOR CARGA X CARRE
RCL SUDAMERICANA SA;RCL SUDAMERICANA SA;51506;VTA X MAYOR EQUIPOS INFO Y MAQ ELECTRÓNI
FUNDACION MEDMIN;FUNDACION MEDMIN;74219;OTROS SERV DE ACT. TÉCNICAS
ACCION CONTRA EL HAMBRE BOLIVIA;ACCION CONTRA EL HAMBRE BOLIVIA;85329;OTROS SERV ASISTENCIA SOCIAL SIN ALOJAMI
PROYECTO SALUD MATERNO INFANTIL CONTEXTO;PROYECTO SALUD MATERNO INFANTIL CONTEXTO;91910;SERV DE ORGANIZACIONES RELIGIOSAS
MAVA PRODUCIONES GRAFICAS DE VALDIVIA DE;MAVA PRODUCCIONES GRAFICAS DE VALDIVIA DE VASQUEZ MARTHA;74960;SERV FOTOCOPIAS,IMPRESIÓN HELIOGRÁFICA Y
TOLEDO Y CARMONA S.R.L.;TOLEDO Y CARMONA S.R.L.;74212;SERV DE INGENIERÍA
AGROPECUARIA COPACABANA LTDA.;AGROPECUARIA COPACABANA LTDA.;1222;CRIA DE GANADO PORCINO
FRIANDISE S R L;FRIANDISE S R L;55209;OTROS SERV DE EXPENDIO DE COMIDAS NCP.
ASOCIACION COORDINADORA DE LA MUJER;ASOCIACION COORDINADORA DE LA MUJER;75120;REGULACIÓN DE ACT.DE ORGANISMOS EDUC,CUL
METAL MECANICA HERCULES LTDA;METAL MECANICA HERCULES LTDA;28110;FABRICN. PROD.METÁLICOS PARA USO ESTRUCT
CONSCAL SA;CONSCAL SA;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
NULO-CEDEC CONDESUB;NULO-CEDEC CONDESUB;75130;REGULACIÓN Y FACILITACIÓN DE LA ACT ECO
WIDMAN INTERNATIONAL S.R.L.;WIDMAN INTERNATIONAL S.R.L.;51411;VTA X MAYOR COMBUSTIBLES PARA AUTOS
NULO ARZOBISPADO OFTALMOLOGIA;NULO ARZOBISPADO OFTALMOLOGIA;75300;ACT. PLANES DE SEGURIDAD SOCIAL AFILIACI
EMPRESA CONSTRUCTORA CONGAR;EMPRESA CONSTRUCTORA CONGAR;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
COPYBOL LTDA.;COPYBOL LTDA.;74960;SERV FOTOCOPIAS,IMPRESIÓN HELIOGRÁFICA Y
INDUSTRIA MADERERA SALI LTDA;INDUSTRIA MADERERA SALI LTDA;20220;FABRICN. PARTES Y PIEZAS CARPINTERÍA PAR
NULO ARZOBISPADO;NULO ARZOBISPADO;75300;ACT. PLANES DE SEGURIDAD SOCIAL AFILIACI
DAJOIS IMPORTACIONES EXPORTACIONES PROP;DAJOIS IMPORTACIONES EXPORTACIONES PROP.;45303;INSTALACIONES SISTEMAS ACONDICIONAMIENTO
PROY.ECOTEC II B76000/PVD/2001/65/IT/PR;PROY.ECOTEC II B76000/PVD/2001/65/IT/PR;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
VOSPER THORNYCROFT CONTROLS INC.;VOSPER THORNYCROFT CONTROLS INC.;35990;FABRICN. OTROS TIPOS DE EQUIPO TRANSPORT
COMIN TASNA LTDA;COMIN TASNA LTDA;51420;VTA X MAYOR METALES Y MINERALES METALÍFE
VERIMEX INTERNACIONAL LTDA;VERIMEX INTERNACIONAL LTDA;74990;OTROS SERV EMPRESARIALES NCP
NULO FUNDESNAP GAS ORIE;NULO FUNDESNAP GAS ORIE;74990;OTROS SERV EMPRESARIALES NCP
UNION BANK OF CALIFORNIA INTERNATIONAL;UNION BANK OF CALIFORNIA INTERNATIONAL;65191;SERV DE LAS ENTIDADES BANCARIAS
COLEGIO DE GEOLOGOS DE BOLIVIA;COLEGIO DE GEOLOGOS DE BOLIVIA;74213;SERV GEOLÓGICOS Y  DE PROSPECCIÓN MINERA
EMPRESA CONSTRUCTORA CIBO SERRUDO DE TEO;EMPRESA CONSTRUCTORA CIBO SERRUDO DE TEODORO TEOFILO SERRUDO FLORES;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
NATIONAL BANK OF CANADA;NATIONAL BANK OF CANADA;65191;SERV DE LAS ENTIDADES BANCARIAS
HANA BANK;HANA BANK;65191;SERV DE LAS ENTIDADES BANCARIAS
BOLHISPANIA COOPERACION ESPANA BOLIVIA;BOLHISPANIA COOPERACION ESPANA BOLIVIA;85322;SERV SOC ORIENTACIÓN Y ASESORAMIENTO SIN
NULO INFORMES Y PROYECTOS S.A. INYPSA;NULO INFORMES Y PROYECTOS S.A. INYPSA;70203;SERV ASESORAMIENTO EN MATERIA INMOBILIAR
INSTITUTO DE LA VISION KHANATA SRL;INSTITUTO DE LA VISION KHANATA SRL;85121;SERVICIO DE ATENCION MEDICA EN CLINICAS
FUNDACION ARCO IRIS;FUNDACION ARCO IRIS;85321;SERV SOCIALES A NIÑOS SIN ALOJAMIENTO
CAMARA FORESTAL DE BOLIVIA;CAMARA FORESTAL DE BOLIVIA;3009;OTROS SERV FORESTALES
CIDAL LTDA.;CIDAL LTDA.;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
CAJA DE AHORROS DE VALENCIA CASTELLON;CAJA DE AHORROS DE VALENCIA CASTELLON;65110;SERV DE LA BANCA CENTRAL
AMEXCO LTDA.;AMEXCO LTDA.;51335;VTA X MAYOR INSTRUMENTOS MUSICALES
SERCO;SERCO;85329;OTROS SERV ASISTENCIA SOCIAL SIN ALOJAMI
CENTRO AFIN;CENTRO AFIN;74140;SERV.ASESORAMIENTO Y GESTIÓN EMPRESARIAL
ENLACE CONSULTORES EN DESARROLLO S.R.L.;ENLACE CONSULTORES EN DESARROLLO S.R.L.;74990;OTROS SERV EMPRESARIALES NCP
ICMA BOLIVIA;ICMA BOLIVIA;74219;OTROS SERV DE ACT. TÉCNICAS
P.A. Y PARTNERS S.R.L.;P.A. Y PARTNERS S.R.L.;85319;OTROS SERV ASIST SOCIAL CON ALOJAMIENTO
ADRIATICA SEGUROS & REASEGUROS S.A;ADRIATICA SEGUROS & REASEGUROS S.A;66030;SERV OTROS PLANES SEGUROS EXCEPTO DE VID
OXISUR S.R.L.;OXISUR S.R.L.;28120;FABRICN. TANQUES, DEPÓSITOS Y RECIPIENTE
ASOCIACION DE COPROPIETARIOS EL BOSQUE;ASOCIACION DE COPROPIETARIOS EL BOSQUE;70202;SERV DE ADMI. INMOBILIARIA DE BIENES INM
CLUB DE LEONES BOLIVIA DISTRITO S1 UPSL;CLUB DE LEONES BOLIVIA DISTRITO S1 UPSL;91990;SERV DE OTRAS ASOCIACIONES NCP
IGLESIA UNIDA DE LA TRINIDAD;IGLESIA UNIDA DE LA TRINIDAD;91910;SERV DE ORGANIZACIONES RELIGIOSAS
MARTINEZ PAZ S.A. EMPRESA CONSTRUCTORA;MARTINEZ PAZ S.A. EMPRESA CONSTRUCTORA;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
FUNDACION AVINA BOLIVIA;FUNDACION AVINA BOLIVIA;75130;REGULACIÓN Y FACILITACIÓN DE LA ACT ECO
SEITEL S.R.L.;SEITEL S.R.L.;45305;INSTALACIONES ESTACIONES TELECOM Y RADAR
PESOTODO SRL;PESOTODO SRL;74990;OTROS SERV EMPRESARIALES NCP
COMERCIAL E INMOBILIARIA SRL;COMERCIAL E INMOBILIARIA SRL;70100;SERV INMOBILIARIOS X CTA PROPIA,CON BIEN
INDUSTRIAS Y COMERCIO DE PAPEL;INDUSTRIAS Y COMERCIO DE PAPEL;52395;VTA X MENOR PAPELES P/PARED, REVESTIMIEN
EMPRESA CONSTRUCTORA ESCORPIO DE BAREA;EMPRESA CONSTRUCTORA ESCORPIO DE BAREA C;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
RISARKBOL LTDA.;RISARKBOL LTDA.;51213;VTA X MAYOR CUEROS Y PIELES
EMSERSO LTDA;EMSERSO LTDA;55206;SERV EXPENDIO COMIDAS ESTABLECIMIENTOS F
ASOCIACION PRO NINO ABANDONADO;ASOCIACION PRO NINO ABANDONADO;85329;OTROS SERV ASISTENCIA SOCIAL SIN ALOJAMI
